,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,40.88,30.06,21.88,12.94,46.99,40.05,28.31,18.0,47.17,37.46,26.34,17.15,43.28,34.22,26.63,16.86
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,0.49,0.58,0.64,0.71,0.6,0.67,0.76,0.91,0.74,0.79,1.07,1.24,0.72,1.16,1.62,2.16
iowait,0.38,0.63,1.03,1.54,0.88,1.48,2.61,3.75,1.95,3.23,4.58,6.36,4.0,6.41,9.44,11.58
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,58.26,68.73,76.44,84.81,51.52,57.8,68.32,77.34,50.13,58.52,68.02,75.25,52.0,58.21,62.32,69.4
throughputR,2439.77,2415.37,2313.43,2432.03,2282.0,2303.97,2216.9,2355.13,2221.27,2140.53,2264.3,2312.8,2145.13,2174.5,2177.83,2258.63
throughputW,306802.67,255854.0,267775.0,245824.67,333867.67,289724.67,234832.0,272650.33,324933.33,313129.33,284811.33,245022.0,313747.67,318085.67,318578.67,284061.33
latency(x1M),3031.0,1132.0,2088.0,4075.0,722.0,1207.0,2078.0,4047.0,2118.0,2550.0,3602.0,5514.0,10996.0,11761.0,12832.0,35478.0
m_count,403646.0,177415.0,349831.0,721907.0,79378.0,152823.0,299136.0,617486.0,83763.0,154401.0,307245.0,624241.0,88034.0,161745.0,308619.0,621286.0
